question,answers,sources
Tell me about Stomach,"The stomach is a hollow organ, or ""container,"" that holds food while it is being mixed with stomach enzymes. These enzymes continue the process of breaking down food into a usable form. Cells in the lining of your stomach secrete a strong acid and powerful enzymes that are responsible for the breakdown process. When the contents of the stomach are processed enough, they’re released into the small intestine.",https://my.clevelandclinic.org/health/body/7041-digestive-system
Tell me about the Small intestine,"Made up of three segments — the duodenum, jejunum, and ileum — the small intestine is a 22-foot long muscular tube that breaks down food using enzymes released by the pancreas and bile from the liver. Peristalsis also works in this organ, moving food through and mixing it with digestive juices from the pancreas and liver.

The duodenum is the first segment of the small intestine. It’s largely responsible for the continuous breaking-down process. The jejunum and ileum lower in the intestine are mainly responsible for the absorption of nutrients into the bloodstream.

Contents of the small intestine start out semi-solid and end in a liquid form after passing through the organ. Water, bile, enzymes and mucus contribute to the change in consistency. Once the nutrients have been absorbed and the leftover-food residue liquid has passed through the small intestine, it then moves on to the large intestine (colon).",https://my.clevelandclinic.org/health/body/7041-digestive-system
Tell me about the Pancreas,"The pancreas secretes digestive enzymes into the duodenum that break down protein, fats and carbohydrates. The pancreas also makes insulin, passing it directly into the bloodstream. Insulin is the chief hormone in your body for metabolizing sugar.",https://my.clevelandclinic.org/health/body/7041-digestive-system
Tell me about the Liver,"The liver has many functions, but its main job within the digestive system is to process the nutrients absorbed from the small intestine. Bile from the liver secreted into the small intestine also plays an important role in digesting fat and some vitamins.

The liver is your body's chemical ""factory."" It takes the raw materials absorbed by the intestine and makes all the various chemicals your body needs to function.

The liver also detoxifies potentially harmful chemicals. It breaks down and secretes many drugs that can be toxic to your body.",https://my.clevelandclinic.org/health/body/7041-digestive-system
Tell me about the Gallbladder,"The gallbladder stores and concentrates bile from the liver, and then releases it into the duodenum in the small intestine to help absorb and digest fats",https://my.clevelandclinic.org/health/body/7041-digestive-system
Tell me about the Colon,"The colon is responsible for processing waste so that emptying your bowels is easy and convenient. It’s a 6-foot long muscular tube that connects the small intestine to the rectum.

The colon is made up of the cecum, the ascending (right) colon, the transverse (across) colon, the descending (left) colon, and the sigmoid colon, which connects to the rectum.

Stool, or waste left over from the digestive process, is passed through the colon by means of peristalsis, first in a liquid state and ultimately in a solid form. As stool passes through the colon, water is removed. Stool is stored in the sigmoid (S-shaped) colon until a ""mass movement"" empties it into the rectum once or twice a day.

It normally takes about 36 hours for stool to get through the colon. The stool itself is mostly food debris and bacteria. These “good” bacteria perform several useful functions, such as synthesizing various vitamins, processing waste products and food particles and protecting against harmful bacteria. When the descending colon becomes full of stool, or feces, it empties its contents into the rectum to begin the process of elimination (a bowel movement).",https://my.clevelandclinic.org/health/body/7041-digestive-system
Tell me about Rectum,"The rectum is a straight, 8-inch chamber that connects the colon to the anus. The rectum's job is to receive stool from the colon, let you know that there is stool to be evacuated (pooped out) and to hold the stool until evacuation happens. When anything (gas or stool) comes into the rectum, sensors send a message to the brain. The brain then decides if the rectal contents can be released or not.

If they can, the sphincters relax and the rectum contracts, disposing its contents. If the contents cannot be disposed, the sphincter contracts and the rectum accommodates so that the sensation temporarily goes away.",https://my.clevelandclinic.org/health/body/7041-digestive-system
Tell me about the anus,"The anus is the last part of the digestive tract. It is a 2-inch long canal consisting of the pelvic floor muscles and the two anal sphincters (internal and external). The lining of the upper anus is able to detect rectal contents. It lets you know whether the contents are liquid, gas or solid.

The anus is surrounded by sphincter muscles that are important in allowing control of stool. The pelvic floor muscle creates an angle between the rectum and the anus that stops stool from coming out when it’s not supposed to. The internal sphincter is always tight, except when stool enters the rectum. This keeps us continent (prevents us from pooping involuntarily) when we are asleep or otherwise unaware of the presence of stool.

When we get an urge to go to the bathroom, we rely on our external sphincter to hold the stool until reaching a toilet, where it then relaxes to release the contents.",https://my.clevelandclinic.org/health/body/7041-digestive-system
What are some common conditions that affect the digestive system?,"There are temporary conditions and long-term, or chronic, diseases and disorders that affect the digestive system. It’s common to have conditions such as constipation, diarrhea or heartburn from time to time. If you are experiencing digestive issues like these frequently, be sure to contact your healthcare professional. It could be a sign of a more serious disorder that needs medical attention and treatment.

Short-term or temporary conditions that affect the digestive system include:

Constipation: Constipation generally happens when you go poop (have a bowel movement) less frequently than you normally do. When you’re constipated, your poop is often dry and hard and it’s difficult and painful for your poop to pass.
Diarrhea: Diarrhea is when you have loose or watery poop. Diarrhea can be caused by many things, including bacteria, but sometimes the cause is unknown.
Heartburn: Although it has “heart” in its name, heartburn is actually a digestive issue. Heartburn is an uncomfortable burning feeling in your chest that can move up your neck and throat. It happens when acidic digestive juices from your stomach go back up your esophagus.
Hemorrhoids: Hemorrhoids are swollen, enlarged veins that form inside and outside of your anus and rectum. They can be painful, uncomfortable and cause rectal bleeding.
Stomach flu (gastroenteritis): The stomach flu is an infection of the stomach and upper part of the small intestine usually caused by a virus. It usually lasts less than a week. Millions of people get the stomach flu every year.
Ulcers: An ulcer is a sore that develops on the lining of the esophagus, stomach or small intestine. The most common causes of ulcers are infection with a bacteria called Helicobacter pylori (H. pylori) and long-term use of anti-inflammatory drugs such as ibuprofen.
Gallstones: Gallstones are small pieces of solid material formed from digestive fluid that form in your gallbladder, a small organ under your liver.
Common digestive system diseases (gastrointestinal diseases) and disorders include:

GERD (chronic acid reflux): GERD (gastroesophageal reflux disease, or chronic acid reflux) is a condition in which acid-containing contents in your stomach frequently leak back up into your esophagus.
Irritable bowel syndrome (IBS): IBS is a condition in which your colon muscle contracts more or less often than normal. People with IBS experience excessive gas, abdominal pain and cramps.
Lactose intolerance: People with lactose intolerance are unable to digest lactose, the sugar primarily found in milk and dairy products.
Diverticulosis and diverticulitis: Diverticulosis and diverticulitis are two conditions that occur in your large intestine (also called your colon). Both share the common feature of diverticula, which are pockets or bulges that form in the wall of your colon.
Cancer: Cancers that affect tissues and organs in the digestive system are called gastrointestinal (GI) cancers. There are multiple kinds of GI cancers. The most common digestive system cancers include esophageal cancer, gastric (stomach) cancer, colon and rectal (colorectal) cancer, pancreatic cancer and liver cancer.
Crohn’s disease: Crohn’s disease is a lifelong form of inflammatory bowel disease (IBD). The condition irritates the digestive tract.
Celiac disease: Celiac disease is an autoimmune disorder that can damage your small intestine. The damage happens when a person with celiac disease consumes gluten, a protein found in wheat, barley and rye.",https://my.clevelandclinic.org/health/body/7041-digestive-system
How can I keep my digestive system healthy?,"If you have a medical condition, always ask your healthcare provider what you should do and eat to stay healthy and manage your condition. In general, the following are ways to keep your digestive system healthy:

Drink water often: Water helps the food you eat flow more easily through your digestive system. Low amounts of water in your body (dehydration) is a common cause of constipation.
Include fiber in your diet: Fiber is beneficial to digestion and helps your body have regular bowel movements. Be sure to incorporate both soluble and insoluble fiber into your diet.
Eat a balanced diet: Be sure to eat several servings of fruit and vegetables every day. Choose whole grains over processed grains and try to avoid processed foods in general. Choose poultry and fish more often than red meat and limit all deli (processed) meats. Limit the amount of sugar you consume.
Eat foods with probiotics or take probiotic supplements: Probiotics are good bacteria that help fight off the bad bacteria in your gut. They also make healthy substances that nourish your gut. It can be especially helpful to consume probiotics after you have taken an antibiotic because antibiotics often kill both bad and good bacteria in your gut.
Eat mindfully and chew your food: Eating slowly gives your body time to digest your food properly. It also allows your body to send you cues that it is full. It is important to chew your food thoroughly because it helps to ensure your body has enough saliva (spit) for digestion. Chewing your food fully also makes it easier for your digestive system to absorb the nutrients in the food.
Exercise: Physical activity and gravity help move food through your digestive system. Taking a walk, for example, after you eat a meal can help your body digest the food more easily.
Avoid alcohol and smoking: Alcohol can increase the amount of acid in your stomach and can cause heartburn, acid reflux and stomach ulcers. Smoking almost doubles your risk of having acid reflux. Research has shown that people who have digestive issues that quit smoking have improved symptoms.
Manage your stress: Stress is associated with digestive issues such as constipation, diarrhea and IBS.",https://my.clevelandclinic.org/health/body/7041-digestive-system
When should I contact my healthcare provider about digestive system issues?,"Contact your healthcare provider if you are experiencing frequent symptoms such as constipation, diarrhea, vomiting, stomach pain or cramps, excessive gas (farting), or heartburn. While most people experience these conditions every once in a while, if you experience them often, it could be a sign of a more serious digestive system issue.",https://my.clevelandclinic.org/health/body/7041-digestive-system
What is the urinary system?,"The urinary system works as a filter, removing toxins and wastes from your body through urine. It uses a series of tubes and ducts to pass this waste. These tubes are connected to your blood vessels and digestive system. Your urinary system helps the rest of your body work properly.",https://my.clevelandclinic.org/health/articles/21197-urinary-system
What does the urinary system do?,"Your urinary system filters your blood to get rid of what your body doesn’t need. It eliminates extra water and salt, toxins, and other waste products. Different parts of the urinary system perform tasks including:

Filtering blood.
Separating the toxins you don’t need from the nutrients you do need.
Storing and carrying urine out of your body.",https://my.clevelandclinic.org/health/articles/21197-urinary-system
How does the urinary system clean my blood?,"Your kidneys are an essential part of filtering your blood. Here’s how the urinary system works:

Your blood enters each kidney through lots of little arteries.
Your kidneys filter your blood, separating toxins from nutrients.
Vitamins, minerals, nutrients and proteins return to your bloodstream.
Waste products and urine move through your ureters to your bladder. Your bladder stores urine until you use the toilet.
Urine leaves your body through your urethra.",https://my.clevelandclinic.org/health/articles/21197-urinary-system
What are the parts of the urinary system?,"The kidneys, ureters, bladder and urethra make up the urinary system. They all work together to filter, store and remove liquid waste from your body. Here’s what each organ does:

Kidneys: These organs work constantly. They filter your blood and make urine, which your body eliminates. You have two kidneys, one on either side of the back of your abdomen, just below your rib cage. Each kidney is about as big as your fist.
Ureters: These two thin tubes inside your pelvis carry urine from your kidneys to your bladder.
Bladder: Your bladder holds urine until you’re ready to empty it (pee). It’s hollow, made of muscle, and shaped like a balloon. Your bladder expands as it fills up. Most bladders can hold up to 2 cups of urine.
Urethra: This tube carries urine from your bladder out of your body. It ends in an opening to the outside of your body in the penis (in men) or in front of the vagina (in women).",https://my.clevelandclinic.org/health/articles/21197-urinary-system
What conditions and disorders affect the urinary system?,"Many conditions can affect the ureters, kidneys, bladder and urethra. Infections, diseases, or problems can appear at birth or develop as you get older. Some common urinary disorders are:

Infections: Urinary tract infections and sexually transmitted infections (STIs) can cause issues in the kidneys, urethra, or bladder. These infections occur when bacteria or viruses enter your urinary tract through your urethra. Your doctor can prescribe medication to treat an infection.
Structural problems: Sometimes babies are born with birth defects that affect the way their urinary tract is formed. These abnormalities can cause urine to back up in the kidneys and cause infection. Later in life, a bladder prolapse can occur after pregnancy or as women age. A prolapsed bladder drops into the vagina or hangs out of the vaginal opening. Sometimes structural issues need surgery to repair the issue.
Kidney stones: These masses form when waste products in urine clump together. Kidney stones or ureteral stones (kidney stones that move to the ureter) can cause severe pain and block the flow of urine. Your doctor may use ultrasound (sound waves) to break the stones into tiny pieces so they’re easier to pass.
Urination problems: Loss of bladder control, or urinary incontinence (leakage), causes urine to leak a little or a lot. Urinary incontinence most often occurs in women, usually after pregnancy or later in life. It can be worse when you cough, laugh, sneeze or jump. Overactive bladder happens when you feel the sudden urge to urinate often. Medications can help treat these conditions.
Urinary tract obstruction: Growths or cancerous tumors in the abdomen can affect the flow of urine. In men, an enlarged prostate (also called benign prostatic hyperplasia or BPH) can block the ureter so it’s harder to urinate. BPH can be treated with medications or surgery. Other causes of ureteral obstruction include pregnancy and gastrointestinal (GI) issues like Crohn’s disease.
Kidney disease: The most common causes of chronic kidney disease are high blood pressure and diabetes. Managing blood pressure and blood sugar is crucial to lowering your risk of kidney disease. A genetic condition called polycystic kidney disease causes fluid-filled cysts to form inside the kidneys. Non-steroidal anti-inflammatory drugs (NSAIDs), such as ibuprofen (Advil®) or naproxen (Aleve®), may damage your kidneys. The usual recommended dose of acetaminophen (Tylenol®) is safe for your kidneys. Check with your doctor to learn which over-the-counter pain medicines are safest for you. Overdoses of almost all medicines — prescription and over-the-counter — can cause your kidneys to work too hard when filtering waste, which can lead to kidney failure. Kidney failure may require dialysis or a kidney transplant.
Interstitial cystitis: Also called painful bladder syndrome, this condition causes inflammation (swelling and irritation) in the bladder. Medications and physical therapy can improve the symptoms of painful bladder syndrome.",https://my.clevelandclinic.org/health/articles/21197-urinary-system
How common are these conditions?,"The most common urinary issues are bladder infections and urinary tract infections (UTIs). UTIs are more common in women than in men. More than 60% of women will get a UTI in their lifetime.

About half of women over 65 experience urinary incontinence, usually because of stretched muscles from pregnancy and childbirth. Kidney stones are also fairly common, occurring in about 1 in every 10 people.",https://my.clevelandclinic.org/health/articles/21197-urinary-system
How can I keep my urinary system healthy?,"You can’t prevent most urinary tract problems. But you can try to keep your urinary system healthy with proper hygiene and a healthy lifestyle. To help your urinary system work the way it should, you can:

Drink plenty of water: Staying hydrated will flush out your system and can help you prevent kidney stones and UTIs. You can try drinking cranberry juice to ward off a UTI. Compounds in cranberries may stop bacteria from growing.
Eat a healthy diet: Low sodium, high-calcium foods may prevent kidney stones.
Wipe the right way: Women should always wipe front to back after using the toilet. Proper wiping reduces the risk of bacteria getting into the vagina and causing a UTI.
Empty your bladder after sex: If you’re a woman, you should use the bathroom after having sex. Peeing promptly can clear out bacteria and reduce your risk of a UTI.
Practice safe sex: Protect yourself from an STI with a condom. But be careful with spermicides because they can cause bacteria to flourish.
Do pelvic floor exercises: Also called Kegel exercises, these can reduce your risk of urinary incontinence by strengthening the muscles in your pelvic floor.",https://my.clevelandclinic.org/health/articles/21197-urinary-system
When should I call my doctor if I think I might have a problem with my urinary tract?,"If you’re having trouble or pain when urinating, you should visit your doctor. It may be a sign of an infection or another condition. Call your doctor if you have:

Blood in your urine.
Burning sensation, pain or difficulty urinating.
Pain in your pelvic area, lower back, genital area, or flank (the back and sides of your abdomen).
Trouble holding your urine or problems with leaking urine.
A feeling that something is bulging out of your vagina.
A note from Cleveland Clinic

Your urinary system plays a critical role in keeping you alive. It filters your blood and removes waste and excess water through urine. Your urinary system includes your kidneys, ureters, bladder and urethra. Conditions like urinary tract infections, sexually transmitted infections, kidney diseases, and urinary tract obstruction can affect the health of your urinary system. If you have one of these conditions, talk to your healthcare provider about steps you can take to ensure your health.",https://my.clevelandclinic.org/health/articles/21197-urinary-system
What is the nervous system?,"Your nervous system guides almost everything you do, think, say or feel. It controls complicated processes like movement, thought and memory. It also plays an essential role in the things your body does without thinking, such as breathing, blushing and blinking.

Your nervous system affects every aspect of your health, including your:

Thoughts, memory, learning, and feelings.
Movements, such as balance and coordination.
Senses, including how your brain interprets what you see, hear, taste, touch and feel.
Sleep, healing and aging.
Heartbeat and breathing patterns.
Response to stressful situations.
Digestion, as well as how hungry and thirsty you feel.
Body processes, such as puberty.
This complex system is the command center for your body. It regulates your body’s systems and allows you to experience your environment.

A vast network of nerves sends electrical signals to and from other cells, glands, and muscles all over your body. These nerves receive information from the world around you. Then the nerves interpret the information and control your response. It’s almost like an enormous information highway running throughout your body.",https://my.clevelandclinic.org/health/articles/21202-nervous-system
What does the nervous system do?,"Your nervous system uses specialized cells called neurons to send signals, or messages, all over your body. These electrical signals travel between your brain, skin, organs, glands and muscles.

The messages help you move your limbs and feel sensations, such as pain. Your eyes, ears, tongue, nose and the nerves all over your body take in information about your environment. Then nerves carry that data to and from your brain.

Different kinds of neurons send different signals. Motor neurons tell your muscles to move. Sensory neurons take information from your senses and send signals to your brain. Other types of neurons control the things your body does automatically, like breathing, shivering, having a regular heartbeat and digesting food.",https://my.clevelandclinic.org/health/articles/21202-nervous-system
What are the parts of the nervous system?,"The nervous system has two main parts. Each part contains billions of cells called neurons, or nerve cells. These special cells send and receive electrical signals through your body to tell it what to do.

The main parts of the nervous system are:

Central nervous system (CNS): Your brain and spinal cord make up your CNS. Your brain uses your nerves to send messages to the rest of your body. Each nerve has a protective outer layer called myelin. Myelin insulates the nerve and helps the messages get through.

Peripheral nervous system: Your peripheral nervous system consists of many nerves that branch out from your CNS all over your body. This system relays information from your brain and spinal cord to your organs, arms, legs, fingers and toes. Your peripheral nervous system contains your:

Somatic nervous system, which guides your voluntary movements.
Autonomic nervous system, which controls the activities you do without thinking about them.",https://my.clevelandclinic.org/health/articles/21202-nervous-system
What conditions and disorders affect the nervous system?,"Thousands of disorders and conditions can affect your nerves. An injured nerve has trouble sending a message. Sometimes it’s so damaged that it can’t send or receive a message at all. Nerve injury can cause numbness, a pins-and-needles feeling or pain. It may be difficult or impossible for you to move the area that’s injured.

Nerve damage can happen in several ways. Some of the most common causes of nerve damage include:

Disease: Many infections, cancers, and autoimmune diseases like diabetes, lupus and rheumatoid arthritis can cause nervous system problems. Diabetes can lead to diabetes-related neuropathy, causing tingling and pain in the legs and feet. A condition called multiple sclerosis attacks the myelin around nerves in the CNS.
Stroke: A stroke happens when one of the brain’s blood vessels becomes blocked or suddenly bursts. Without enough blood, part of the brain dies. Then it can’t send messages via nerves. A stroke can cause nerve damage ranging from mild to severe.
Accidental injury: Nerves can be crushed, stretched, or cut in an accident. Car crashes and falls are common injuries that can damage nerves anywhere in your body.
Pressure: If a nerve is pinched or compressed, it can’t get enough blood to do its job. Nerves can be pinched or trapped for many reasons, such as overuse (as in carpal tunnel syndrome), a tumor, or structural problems like sciatica.
Toxic substances: Chemotherapy medicines, illegal drugs, excessive alcohol and poisonous substances can cause peripheral neuropathy or nerve damage. People with kidney disease are more likely to develop nerve damage because their kidneys have a hard time filtering out toxins.
Aging process: As you get older, your neurons’ signals may not travel as fast as they used to. You may feel weaker, and your reflexes may slow down. Some people lose sensation in their fingers, toes or other parts of their body.
How common are these conditions?

Some causes of nerve damage occur more frequently than others. They include:

Diabetes: This disorder of the endocrine system causes nerve damage called diabetes-related neuropathy. Around 30 million Americans have diabetes and nearly 50% of them have some nerve damage. Neuropathy of diabetes usually affects the arms, legs, hands, feet, fingers and toes.
Lupus: About 1.5 million Americans live with lupus, and 15% of them have experienced nerve damage.
Rheumatoid arthritis: People with rheumatoid arthritis can also develop neuropathy. Rheumatoid arthritis affects more than 1.3 million people in the U.S. It’s one of the most common forms of arthritis.
Stroke: Around 800,000 Americans have a stroke every year. Strokes occur more often in people over age 65.",https://my.clevelandclinic.org/health/articles/21202-nervous-system
How do I keep my nervous system healthy?,"Your nervous system is the command center for your entire body. It needs care to keep working correctly. See your doctor regularly, eat a healthy diet, avoid drugs, and only drink alcohol in moderation. The best way to avoid nerve damage from disease is to manage conditions that can injure your nerves, such as diabetes.",https://my.clevelandclinic.org/health/articles/21202-nervous-system
When should I call my doctor?,"Call your doctor right away if you have any sudden changes in your health, such as losing coordination or noticing severe muscle weakness. You should also see your doctor if you have:

Vision problems or headaches.
Slurred speech.
Numbness, tingling, or loss of sensation in your arms or legs.
Tremors or tics (random muscle movements).
Changes in behavior or memory.
Problems with coordination or moving your muscles.",https://my.clevelandclinic.org/health/articles/21202-nervous-system
What is the endocrine system?,"Your endocrine system is made up of several organs called glands. These glands, located all over your body, create and secrete (release) hormones.

Hormones are chemicals that coordinate different functions in your body by carrying messages through your blood to your organs, skin, muscles and other tissues. These signals tell your body what to do and when to do it.",https://my.clevelandclinic.org/health/articles/21201-endocrine-system
What does the endocrine system do and how does it work?,"Your endocrine system continuously monitors the amount of hormones in your blood. Hormones deliver their messages by locking into the cells they target so they can relay the message.

The pituitary gland senses when your hormone levels rise, and tells other glands to stop producing and releasing hormones. When hormone levels dip below a certain point, the pituitary gland can instruct other glands to produce and release more. This process, called homeostasis, works similarly to the thermostat in your house. Hormones affect nearly every process in your body, including:

Metabolism (the way you break down food and get energy from nutrients).
Growth and development.
Emotions and mood.
Fertility and sexual function.
Sleep.
Blood pressure.
Sometimes glands produce too much or not enough of a hormone. This imbalance can cause health problems, such as weight gain, high blood pressure and changes in sleep, mood and behavior. Many things can affect how your body creates and releases hormones. Illness, stress and certain medications can cause a hormone imbalance.",https://my.clevelandclinic.org/health/articles/21201-endocrine-system
What are the parts of the endocrine system?,"The endocrine system is made up of organs called glands. Glands produce and release different hormones that target specific things in the body. You have glands all over your body, including in your neck, brain and reproductive organs. Some glands are tiny, about the size of a grain of rice or a pea. The largest gland is the pancreas, which is about 6 inches long.

The main glands that produce hormones include:

Hypothalamus: This gland is located in your brain and controls your endocrine system. It uses information from your nervous system to determine when to tell other glands, including the pituitary gland, to produce hormones. The hypothalamus controls many processes in your body, including your mood, hunger and thirst, sleep patterns and sexual function.
Pituitary: This little gland is only about the size of a pea, but it has a big job. It makes hormones that control several other glands such as the thyroid gland, adrenal glands, ovaries and testicles. The pituitary gland is in charge of many different functions, including how your body grows. It’s located at the base of your brain.
Thyroid: Your thyroid is a butterfly-shaped gland in the front of your neck. It’s responsible for your metabolism (how your body uses energy).
Parathyroid: These four tiny glands are no larger than a grain of rice. They control the level of calcium in your body. For your heart, kidneys, bones and nervous system to work, you need the right amount of calcium.
Adrenal: You have two adrenal glands, one on top of each kidney. They control your metabolism, blood pressure, sexual development and response to stress.
Pineal: This gland manages your sleep cycle by releasing melatonin, a hormone that causes you to feel sleepy.
Pancreas: Your pancreas is part of your endocrine system, and it plays a significant role in your digestive system too. It makes a hormone called insulin that controls the level of sugar in your blood.
Ovaries: In women, the ovaries release sex hormones called estrogen, progesterone and testosterone. Women have two ovaries in their lower abdomen, one on either side.
Testes: In men, the testes (testicles) make sperm and release the hormone testosterone. This hormone affects sperm production, muscle strength and sex drive.",https://my.clevelandclinic.org/health/articles/21201-endocrine-system
What conditions and disorders affect the endocrine system?,"Dozens of conditions can cause issues in the endocrine system. These conditions can lead to health problems all over the body. Some of the most common disorders are:

Diabetes: This endocrine disorder affects the way your body uses the energy from the food you eat. Diabetes develops when the pancreas doesn’t make enough of a hormone called insulin, or insulin doesn’t work as it should.
Thyroid disorders: Several conditions can affect the function of the thyroid gland. Hypothyroidism happens when the thyroid doesn’t produce enough hormones. Hyperthyroidism occurs when it creates too many hormones.
Hypogonadism (low testosterone): In men, hypogonadism can cause erectile dysfunction. It can also cause memory and concentration problems, changes in muscle strength and low sex drive. It happens when the testes do not produce enough of the sex hormone testosterone.
Polycystic ovary syndrome (PCOS): A hormonal imbalance causes women with PCOS to have irregular periods, abnormal hair growth, excess acne and weight gain. It can lead to diabetes, increased risk of metabolic syndrome and infertility.
Osteoporosis: When a woman’s ovaries don’t produce enough estrogen, bones become brittle and weak. Although it is more common in women, men sometimes have osteoporosis when testosterone levels get too low. People with an overactive parathyroid gland (hyperparathyroidism) may also have weak bones.
Chemicals called endocrine disrupters can also affect the endocrine system. These chemicals appear everywhere — in pesticides, plastics, cosmetics and even our food and water. Endocrine disrupters cause a wide range of problems throughout the body by changing how hormones send messages.",https://my.clevelandclinic.org/health/articles/21201-endocrine-system
How common are these conditions?,"Diabetes: This condition is widespread. Almost 10% of people in the United States have diabetes and 27% have prediabetes.
Thyroid disorders: About 20 million Americans have thyroid disease. Women are about five times more likely than men to develop the condition.
Hypogonadism: About 40% of men over 45 have low testosterone. Levels of this sex hormone naturally drop as men age. Other factors, such as a man’s diet, weight and other health problems also affect testosterone levels.
PCOS: This common condition affects about 5% to 10% of adult women in the U.S. It is a leading cause of infertility.
Osteoporosis: More than half of adults over age 50 have osteoporosis. It is more likely to occur in women than in men.",https://my.clevelandclinic.org/health/articles/21201-endocrine-system
How can I keep my endocrine system healthy?,"Your endocrine system needs the same things the rest of your body needs to stay healthy. You should exercise, eat right and see your healthcare provider regularly.

If you have a family history of diabetes, thyroid disorders or PCOS, talk to your provider. Managing these conditions can help you avoid a hormone imbalance that can lead to health problems.",https://my.clevelandclinic.org/health/articles/21201-endocrine-system
When should I call my doctor?,"Some symptoms can point to a serious health condition, such as diabetes. Call your provider if you have:

The urge to urinate (pee) a lot.
Extreme thirst, even after you’ve had plenty of water.
Nausea or stomach pain that doesn’t go away.
Sudden weight loss or unexplained weight gain.
Severe exhaustion or weakness.
Problems with sweating too much.
Sudden episodes of rapid heart hearts or elevated blood pressure
Developmental or growth delays.",https://my.clevelandclinic.org/health/articles/21201-endocrine-system
What is the respiratory system?,"The respiratory system is the network of organs and tissues that help you breathe. It includes your airways, lungs and blood vessels. The muscles that power your lungs are also part of the respiratory system. These parts work together to move oxygen throughout the body and clean out waste gases like carbon dioxide.",https://my.clevelandclinic.org/health/articles/21205-respiratory-system
What does the respiratory system do?,"The respiratory system has many functions. Besides helping you inhale (breathe in) and exhale (breathe out), it:

Allows you to talk and to smell.
Warms air to match your body temperature and moisturizes it to the humidity level your body needs.
Delivers oxygen to the cells in your body.
Removes waste gases, including carbon dioxide, from the body when you exhale.
Protects your airways from harmful substances and irritants.",https://my.clevelandclinic.org/health/articles/21205-respiratory-system
What are the parts of the respiratory system?,"The respiratory system has many different parts that work together to help you breathe. Each group of parts has many separate components.

Your airways deliver air to your lungs. Your airways are a complicated system that includes your:

Mouth and nose: Openings that pull air from outside your body into your respiratory system.
Sinuses: Hollow areas between the bones in your head that help regulate the temperature and humidity of the air you inhale.
Pharynx (throat): Tube that delivers air from your mouth and nose to the trachea (windpipe).
Trachea: Passage connecting your throat and lungs.
Bronchial tubes: Tubes at the bottom of your windpipe that connect into each lung.
Lungs: Two organs that remove oxygen from the air and pass it into your blood.
From your lungs, your bloodstream delivers oxygen to all your organs and other tissues.

Muscles and bones help move the air you inhale into and out of your lungs. Some of the bones and muscles in the respiratory system include your:

Diaphragm: Muscle that helps your lungs pull in air and push it out.
Ribs: Bones that surround and protect your lungs and heart.
When you breathe out, your blood carries carbon dioxide and other waste out of the body. Other components that work with the lungs and blood vessels include:

Alveoli: Tiny air sacs in the lungs where the exchange of oxygen and carbon dioxide takes place.
Bronchioles: Small branches of the bronchial tubes that lead to the alveoli.
Capillaries: Blood vessels in the alveoli walls that move oxygen and carbon dioxide.
Lung lobes: Sections of the lungs — three lobes in the right lung and two in the left lung.
Pleura: Thin sacs that surround each lung lobe and separate your lungs from the chest wall.
Some of the other components of your respiratory system include:

Cilia: Tiny hairs that move in a wave-like motion to filter dust and other irritants out of your airways.
Epiglottis: Tissue flap at the entrance to the trachea that closes when you swallow to keep food and liquids out of your airway.
Larynx (voice box): Hollow organ that allows you to talk and make sounds when air moves in and out.",https://my.clevelandclinic.org/health/articles/21205-respiratory-system
What conditions affect the respiratory system?,"Many conditions can affect the organs and tissues that make up the respiratory system. Some develop due to irritants you breathe in from the air, including viruses or bacteria that cause infection. Others occur as a result of disease or getting older.

Conditions that can cause inflammation (swelling, irritation and pain) or otherwise affect the respiratory system include:

Allergies: Inhaling proteins, such as dust, mold, and pollen, can cause respiratory allergies in some people. These proteins can cause inflammation in your airways.
Asthma: A chronic (long-term) disorder, asthma causes inflammation in the airways that can make breathing difficult.
Infection: Infections can lead to pneumonia (inflammation of the lungs) or bronchitis (inflammation of the bronchial tubes). Common respiratory infections include the flu (influenza) or a cold.
Disease: Respiratory disorders include lung cancer and chronic obstructive pulmonary disease (COPD). These illnesses can harm the respiratory system’s ability to deliver oxygen throughout the body and filter out waste gases.
Aging: Lung capacity decreases as you get older.
Damage: Damage to the respiratory system can cause breathing problems.",https://my.clevelandclinic.org/health/articles/21205-respiratory-system
How can I keep my respiratory system healthy?,"Being able to clear mucus out of the lungs and airways is important for respiratory health.

To keep your respiratory system healthy, you should:

Avoid pollutants that can damage your airways, including secondhand smoke, chemicals and radon (a radioactive gas that can cause cancer). Wear a mask if you are exposed to fumes, dust or other types of pollutants for any reason.
Don't smoke.
Eat a healthy diet with lots of fruits and vegetables and drink water to stay hydrated
Exercise regularly to keep your lungs healthy.
Prevent infections by washing your hands often and getting a flu vaccine each year.",https://my.clevelandclinic.org/health/articles/21205-respiratory-system
When should I call a healthcare provider about an issue with my respiratory system?,"Contact your provider if you have breathing trouble or pain. Your provider will listen to your chest, lungs, and heartbeat and look for signs of a respiratory issue such as infection. To see if your respiratory system is working as it should, your healthcare provider may use imaging tests such as a CT scan or MRI. These tests allow your provider to see swelling or blockages in your lungs and other parts of your respiratory system. Your provider may also recommend pulmonary function tests, which will include spirometry. A spirometer is a device that can tell how much air you inhale and exhale. See your doctor for regular checkups to help prevent serious respiratory conditions and lung disease. Early diagnosis of these issues can help prevent them from becoming severe.",https://my.clevelandclinic.org/health/articles/21205-respiratory-system
